date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:52	110447/110447	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:15:51%20GMT	https://cu.edu.eg/Home	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/Home.html	(from )
15:44:52	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Nov%202022%2010:15:54%20GMT	https://cu.edu.eg/robots.txt		(from )
15:44:53	232/232	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Nov%202022%2010:15:54%20GMT	https://cu.edu.eg/templates/ts_barrister/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/favicon.ico	(from https://cu.edu.eg/Home)
15:44:54	131608/131608	---M-Z	200	added ('OK')	text/css	etag:%2220218-52b68d9d61f10-gzip%22	https://cu.edu.eg/templates/ts_barrister/css/bootstrap.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/css/bootstrap.min.css	(from https://cu.edu.eg/Home)
15:44:54	50467/50467	---M-Z	200	added ('OK')	text/css	etag:%22c523-5062626bd0900-gzip%22	https://cu.edu.eg/templates/ts_barrister/css/k2.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/css/k2.css	(from https://cu.edu.eg/Home)
15:44:55	24525/24525	---M-Z	200	added ('OK')	text/css	etag:%225fcd-52b69d6fe6e30-gzip%22	https://cu.edu.eg/templates/ts_barrister/css/bootstrap-responsive.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/css/bootstrap-responsive.min.css	(from https://cu.edu.eg/Home)
15:44:56	22159/22159	---M-Z	200	added ('OK')	text/css	etag:%22568f-52f7f8af26da1-gzip%22	https://cu.edu.eg/plugins/system/helix/css/font-awesome.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/plugins/system/helix/css/font-awesome.css	(from https://cu.edu.eg/Home)
15:44:56	1379/1379	---M-Z	200	added ('OK')	text/css	etag:%22563-505d4ffa8a000-gzip%22	https://cu.edu.eg/plugins/system/helix/css/mobile-menu.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/plugins/system/helix/css/mobile-menu.css	(from https://cu.edu.eg/Home)
15:44:56	57094/57094	---M-Z	200	added ('OK')	text/css	etag:%22df06-4f34ced787080-gzip%22	https://cu.edu.eg/templates/ts_barrister/css/animate.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/css/animate.css	(from https://cu.edu.eg/Home)
15:44:56	1477/1477	---M-Z	200	added ('OK')	text/css	etag:%225c5-4efe3ec4e1f00-gzip%22	https://cu.edu.eg/templates/ts_barrister/css/owl.carousel.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web102/Site102/cu.edu.eg/templates/ts_barrister/css/owl.carousel.css	(from https://cu.edu.eg/Home)
